name,icon,cover,restype,tags,devices,path,paid_type
户山香澄 表盘,https://raw.githubusercontent.com/SmallK111407/KasumiWatchFace_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/SmallK111407/KasumiWatchFace_AstroBox/refs/heads/main/%E5%A4%B4%E5%9B%BE.png,watchface,表盘;邦多利;户山香澄;二次元;丰富样式;多数据,n67,smallk111407/KasumiWatchFace.json,
扫雷,https://raw.githubusercontent.com/jfgege/Minesweeper-Vela/refs/heads/main/logo.png,https://raw.githubusercontent.com/jfgege/Minesweeper-Vela/refs/heads/main/header.png,quickapp,游戏;扫雷;经典,n66;o66;o66nfc;n67;o65;n62;o62,JIFENG/Minesweeper.json,force_paid
「如常」普拉娜,https://raw.githubusercontent.com/AL-1S-hash/AB-rc-pln/main/icon.png,https://raw.githubusercontent.com/AL-1S-hash/AB-rc-pln/main/preview0.png,watchface,表盘;付费;可编辑;时间感知;多设备支持,n67;n66;o66;o66nfc,sees/rcpln.json,paid
学习盒子-初中版,https://raw.githubusercontent.com/Hiqming/chuzhong/refs/heads/main/logo.png,https://raw.githubusercontent.com/Hiqming/chuzhong/refs/heads/main/1.jpg,quickapp,实用工具;学习,n66;n67;o66;o66nfc,HiXiaomi/chuzhong.json,force_paid
学习盒子-高中版,https://raw.githubusercontent.com/Hiqming/gaozhong/refs/heads/main/logo.png,https://raw.githubusercontent.com/Hiqming/gaozhong/refs/heads/main/1.jpg,quickapp,实用工具;学习,n66;n67;o66;o66nfc,HiXiaomi/gaozhong.json,force_paid
趣摇盲盒,https://raw.githubusercontent.com/Hiqming/qymh/refs/heads/main/logo.png,https://raw.githubusercontent.com/Hiqming/qymh/refs/heads/main/1.jpg,quickapp,游戏;随机,n66;n67;o66;o66nfc,HiXiaomi/qymh.json,force_paid
动感飞车,https://raw.githubusercontent.com/Hiqming/feiche/refs/heads/main/logo.png,https://raw.githubusercontent.com/Hiqming/feiche/refs/heads/main/1.jpg,quickapp,游戏;赛车;动感,n66;o66;o66nfc,HiXiaomi/feiche.json,force_paid
WindowsWF,https://raw.githubusercontent.com/wuhaiqi0621/WinWF_ForAstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/wuhaiqi0621/WinWF_ForAstroBox/refs/heads/main/head.png,watchface,Windows;表盘;微软;Win11;跳转;壁纸,o66;o66nfc,charlie_q/WindowsWF.json,
同位素2048,https://raw.githubusercontent.com/CheongSzesuen/Isotope2048_AstroBox_Release/refs/heads/main/logo.png,https://raw.githubusercontent.com/CheongSzesuen/Isotope2048_AstroBox_Release/refs/heads/main/head/Isotope2048.png,quickapp,2048;游戏;化学;科学;趣味;二改,n66;o66;o66nfc;n67,WaiJade/Isotope2048.json,
环间扫雷,https://raw.githubusercontent.com/DDguan2010/vela-minesweeper/refs/heads/main/icon.png,https://raw.githubusercontent.com/DDguan2010/vela-minesweeper/refs/heads/main/preview0.png,quickapp,游戏;休闲;扫雷,o66;o66nfc;n66,02studio/minesweeper.json,force_paid
【部分付费】派对游戏合集,https://raw.githubusercontent.com/Demon0H/partygame_miband/refs/heads/main/icon.png,https://raw.githubusercontent.com/Demon0H/partygame_miband/refs/heads/main/cover.png,quickapp,游戏;付费;派对游戏,"n66,n67,o66,o66nfc",Demon_H/partygame.json,paid
人生重开模拟器,https://raw.githubusercontent.com/DDguan2010/vela-liferestart/refs/heads/main/icon.png,https://raw.githubusercontent.com/DDguan2010/vela-liferestart/refs/heads/main/preview0.png,quickapp,游戏;休闲;人生重开;模拟,o66;o66nfc;n66,02studio/liferestart.json,
雪山动态表盘,https://raw.githubusercontent.com/Ziyimiao5054/Snow-Mountain/refs/heads/main/icon.png,https://raw.githubusercontent.com/Ziyimiao5054/Snow-Mountain/refs/heads/main/cover.png,watchface,表盘;动态;雪山,o66;o66nfc,ziyimiao5054/Snow-Mountain.json,
经验回归方程计算,https://raw.githubusercontent.com/Dreamqiucn/rcalculate-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/rcalculate-Astrobox/refs/heads/main/preview1.png,quickapp,实用工具;软件;计算器,n67,Dreamqiu/rcalculate.json,
星空Starfield for Xiaomi Watch S4,https://raw.githubusercontent.com/MineBabyBlue/Starfield_Watchface_AstroBox_Release-main/refs/heads/main/icon.png,https://raw.githubusercontent.com/MineBabyBlue/Starfield_Watchface_AstroBox_Release-main/refs/heads/main/preview.png,watchface,复刻;Starfield;星空;表盘;多数据;免费,o62,BabyBlue/StarfieldS4.json,
米塔mita动态眨眼表盘,https://raw.githubusercontent.com/MineBabyBlue/Mita_Watchface_AstroBox_Release-main/refs/heads/main/icon.png,https://raw.githubusercontent.com/MineBabyBlue/Mita_Watchface_AstroBox_Release-main/refs/heads/main/preview.png,watchface,二次元;多数据;表盘;二改;免费,n67,BabyBlue/Mita.json,
猫猫木鱼互动表盘（预览）,https://raw.githubusercontent.com/MineBabyBlue/CatMuyu_Watchface_AstroBox_Release-main/refs/heads/main/icon.png,https://raw.githubusercontent.com/MineBabyBlue/CatMuyu_Watchface_AstroBox_Release-main/refs/heads/main/preview.png,watchface,多配色;可互动;可爱;表盘;付费,n67;o66,BabyBlue/CatMuyu.json,paid
WORDLE,https://raw.githubusercontent.com/SarmonFish/vela-wordle-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/SarmonFish/vela-wordle-release/refs/heads/main/cover.png,quickapp,游戏;解谜;休闲,n67;n66;o66;o66nfc;o65;o65m;o62;o62m;n62,SarmonFish/vela-wordle.json,
Contrasting colors,https://raw.githubusercontent.com/Azumachiaki/ctls/refs/heads/main/icon.png,https://raw.githubusercontent.com/Azumachiaki/ctls/refs/heads/main/cover.png,watchface,表盘;免费;AstroBox专属,n67,AzumaChiaki/ctls.json,
Unlock mi Phone,https://raw.githubusercontent.com/Azumachiaki/ulmp/refs/heads/main/icon.png,https://raw.githubusercontent.com/Azumachiaki/ulmp/refs/heads/main/cover.png,quickapp,游戏;免费;AstroBox专属;梗,n67,AzumaChiaki/ulmp.json,
绘刻系列,https://raw.githubusercontent.com/Ziyimiao5054/Drawing-Carve/refs/heads/main/icon.png,https://raw.githubusercontent.com/Ziyimiao5054/Drawing-Carve/refs/heads/main/cover.png,watchface,表盘;二次元;免费;景深,o66;o66nfc,ziyimiao5054/Drawing_Carve.json,
Material You,https://raw.githubusercontent.com/YangWan233/Material-You_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/YangWan233/Material-You_AstroBox/refs/heads/main/cover.png,watchface,表盘;免费;简约,n67,YangWan233/Material You.json,
赛博算卦,https://raw.githubusercontent.com/Dreamqiucn/cybergua-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/cybergua-Astrobox/refs/heads/main/preview1.png,quickapp,实用工具;软件;算卦;免费,n67,Dreamqiu/cybergua.json,
粗粮备跑网,https://raw.githubusercontent.com/OrPudding/MiRun-BandTwine/main/icon.png,https://raw.githubusercontent.com/OrPudding/MiRun-BandTwine/main/cover.png,quickapp,游戏;免费;自愿捐赠;AstroBox专属;梗;玩机,n66;o66;n62;o62;o62m;o66nfc;n67,OrPudding/mirun.json,
愤怒的小球,https://raw.githubusercontent.com/Dreamqiucn/angryballs-Astrobox/refs/heads/main/logo.png,https://raw.githubusercontent.com/Dreamqiucn/angryballs-Astrobox/refs/heads/main/preview1.png,quickapp,游戏;2d;休闲,n67;n66;o66;o66nfc,Dreamqiu/angryballs.json,force_paid
SimpleRSS 简读,https://raw.githubusercontent.com/yzl3014/AstroBox_SimpleRSS/refs/heads/main/logo.png,https://raw.githubusercontent.com/yzl3014/AstroBox_SimpleRSS/refs/heads/main/cover.png,quickapp,工具;阅读;RSS,n67,yzl3014/simpleRSS.json,
MIPhone Go,https://raw.githubusercontent.com/wanggantian/MIPhonego/refs/heads/main/icon.png,https://raw.githubusercontent.com/wanggantian/MIPhonego/refs/heads/main/cover.png,quickapp,游戏;免费;梗,n67,wanggantian/MIPhonego.json,
环间古诗词,https://raw.githubusercontent.com/DDguan2010/vela-poem/refs/heads/main/icon.png,https://raw.githubusercontent.com/DDguan2010/vela-poem/refs/heads/main/preview0.png,quickapp,工具;古诗词;学习,o66;o66nfc;n66;n67,02studio/poem.json,force_paid
雪山动态_S4,https://raw.githubusercontent.com/Ziyimiao5054/Snow-Mountain_S4/refs/heads/main/icon.png,https://raw.githubusercontent.com/Ziyimiao5054/Snow-Mountain_S4/refs/heads/main/cover.png,watchface,表盘;动态;雪山,o62;o62m,ziyimiao5054/Snow-Mountain_S4.json,
BanGUI 千早爱音,https://raw.githubusercontent.com/SmallK111407/BanGUI_ChihayaAnon_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/SmallK111407/BanGUI_ChihayaAnon_AstroBox/refs/heads/main/cover.png,watchface,表盘;邦多利;千早爱音;二次元;丰富样式;多数据,o66;o66nfc,smallk111407/BanGUI_ChihayaAnon.json,paid
环间跳蛋,https://raw.githubusercontent.com/MapleMapleMa/SmartVibrator/refs/heads/main/icon.png,https://raw.githubusercontent.com/MapleMapleMa/SmartVibrator/refs/heads/main/头图.png,quickapp,娱乐;实用工具,o66;o66nfc,MapleMapleMa/SmartVibrator.json,
Physium,https://raw.githubusercontent.com/asahiqin/physium-aiot/refs/heads/main/src/common/logo.png,https://raw.githubusercontent.com/asahiqin/physium-release/refs/heads/main/cover.png,quickapp,学习;实用工具;开源,n66;n67,asahiqin/physium-aiot.json,
花开忘忧,https://raw.githubusercontent.com/wuhaiqi0621/HuaKaiWangYou_ForAstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/wuhaiqi0621/HuaKaiWangYou_ForAstroBox/refs/heads/main/head.png,watchface,景色;简约;表盘;花,n67,charlie_q/HuaKaiWangYou.json,
飞鸟会长不肯认输,https://raw.githubusercontent.com/liuyuze61/Asunabi_AstroBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/liuyuze61/Asunabi_AstroBox/refs/heads/main/preview.png,quickapp,galgame;游戏,n67;o66;o66nfc,liuyuze61/Asunabi.json,
JSLab,https://raw.githubusercontent.com/cciccicu/JSLab_AstroBox_Release/refs/heads/main/logo.png,https://raw.githubusercontent.com/cciccicu/JSLab_AstroBox_Release/refs/heads/main/cover.png,quickapp,JS;工具,n67,ccicc.icu/jslab.json,
authRD,https://raw.githubusercontent.com/hrsthrt74/authRD-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/authRD-for-astrobox/refs/heads/main/cover.png,watchface,明日方舟;通行证;多样式;跳转,n67,hrsthrt74/authRD.json,
更好的2048,https://raw.githubusercontent.com/CheongSzesuen/B2048_AstroBox_Release/refs/heads/main/logo.png,https://raw.githubusercontent.com/CheongSzesuen/B2048_AstroBox_Release/refs/heads/main/head/head.png,quickapp,2048;二改;更好的2048;益智,o66;o66nfc,WaiJade/B2048.json,
Smart-Box,https://raw.githubusercontent.com/Emptysets/SmartBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/Emptysets/SmartBox/refs/heads/main/preview.png,quickapp,工具箱;实用工具;免费,"n66,n67",Emptysets/smartbox.json,
赤旗破晓,https://raw.githubusercontent.com/Tellmeway0/RememberHistory/main/logo.png,https://raw.githubusercontent.com/Tellmeway0/RememberHistory/main/rh_cover.png,quickapp,历史;游戏;免费,n67,Tellmeway/RememberHistory.json,
banDS,https://raw.githubusercontent.com/hrsthrt74/banDS-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/banDS-for-astrobox/refs/heads/main/cover.png,watchface,任天堂;Y2K;复古;像素风;千禧年;点阵;可编辑;可编辑控件;复刻;跳转,n67,hrsthrt74/banDS.json,
Ocean,https://raw.githubusercontent.com/YangWan233/Ocean_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/YangWan233/Ocean_AstroBox/refs/heads/main/cover.png,watchface,海洋;景深;多样式;跳转;免费,n67,YangWan233/Ocean.json,
Poster,https://raw.githubusercontent.com/virelyx258/Vela_Poster/refs/heads/main/icon.png,https://raw.githubusercontent.com/virelyx258/Vela_Poster/refs/heads/main/2233poster.png,quickapp,网络;实用工具;免费,o65;o65m,Virelyx/Poster.json,
MaxTab,https://raw.githubusercontent.com/Goge052215/MaxTab/refs/heads/main/logo.png,https://raw.githubusercontent.com/Goge052215/MaxTab/refs/heads/main/head_image.png,quickapp,计算器;实用工具;免费,o66;o66nfc,goge052215/MaxTab.json,
WF2,https://raw.githubusercontent.com/hrsthrt74/WF2-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/WF2-for-astrobox/refs/heads/main/cover.png,watchface,任天堂;简约;NintendoSwitch;指针;可编辑;深色模式;跳转;复刻,n67,hrsthrt74/WF2.json,
realive 3 Classic F4,https://raw.githubusercontent.com/yizigezi/realive-3-Classic-F4/refs/heads/main/images/logo.png,https://raw.githubusercontent.com/yizigezi/realive-3-Classic-F4/refs/heads/main/images/preview.png,watchface,表盘;经典;复刻;跳转;小米手环4;可编辑,o66;o66nfc,coratech/realive3classicf4.json,
『忆』UI,https://raw.githubusercontent.com/AL-1S-hash/AB-y/refs/heads/main/icon.png,https://raw.githubusercontent.com/AL-1S-hash/AB-y/refs/heads/main/tt.png,watchface,付费;表盘;缓慢亮屏;二次元;普拉娜;阿罗娜,o66nfc;n67;o66,sees/ab-y.json,force_paid
简明天气,https://raw.githubusercontent.com/zaona/simple-weather-astrobox-release/refs/heads/main/icon.png,https://raw.githubusercontent.com/zaona/simple-weather-astrobox-release/refs/heads/main/preview.png,quickapp,天气;免费,n66;n67;o66;o66nfc;o62;o62m;o65;o65m;p65,zaona/simple-weather.json,
FlappyBird Pro,https://raw.githubusercontent.com/YangWan233/FlappyBird-Pro_AstroBox/refs/heads/main/icon.png,https://raw.githubusercontent.com/YangWan233/FlappyBird-Pro_AstroBox/refs/heads/main/cover.png,quickapp,游戏;经典;免费,n67,YangWan233/FlappyBirdPro.json,
MaterialFlex 体验版,https://raw.githubusercontent.com/hrsthrt74/MaterialFlex-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/MaterialFlex-for-astrobox/refs/heads/main/cover.png,watchface,MaterialDesign;质感设计;简约;可编辑;多样式;跳转,o66;o66nfc,hrsthrt74/MaterialFlex.json,paid
MaterialMania,https://raw.githubusercontent.com/hrsthrt74/MaterialMania-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/MaterialMania-for-astrobox/refs/heads/main/cover.png,watchface,MaterialDesign;质感设计;简约,o66nfc;o66,hrsthrt74/MaterialMania.json,
authRD - 凯尔希,https://raw.githubusercontent.com/hrsthrt74/authRD-kaltsit-for-astrobox/refs/heads/main/icon.png,https://raw.githubusercontent.com/hrsthrt74/authRD-kaltsit-for-astrobox/refs/heads/main/cover.png,watchface,明日方舟;多样式;跳转,o62;o62m,hrsthrt74/authRD_kaltsit.json,
勇者指令：地下城,https://raw.githubusercontent.com/liuyuze61/BraveCommand_Dungeons_AstroBox/refs/heads/main/logo.png,https://raw.githubusercontent.com/liuyuze61/BraveCommand_Dungeons_AstroBox/refs/heads/main/preview10.png,quickapp,游戏;回合制;jrpg;像素风格,n67;o65;o65m;n66,liuyuze61/BraveCommand_Dungeons.json,force_paid
OMusic,https://raw.githubusercontent.com/OrPudding/OMusic-AstroBox-Resource/main/icon.png,https://raw.githubusercontent.com/OrPudding/OMusic-AstroBox-Resource/main/cover.png,quickapp,音乐;实用工具;开源,n62;o62;o62m;o65;o65m;p65,OrPudding/omusic.json,force_paid
BandTwine,https://raw.githubusercontent.com/OrPudding/BandTwine_AstroBox_Release/refs/heads/main/icon.png,https://raw.githubusercontent.com/OrPudding/BandTwine_AstroBox_Release/refs/heads/main/cover.png,quickapp,"游戏;互动小说,文字游戏,实用工具;游戏引擎",n62;n66;n67;o62;o66;o66nfc,OrPudding/bandtwine.json,
MerquryIM Dev,https://raw.githubusercontent.com/CoraTech-Wear/merqury-astrobox-res/refs/heads/main/icon.png,https://raw.githubusercontent.com/CoraTech-Wear/merqury-astrobox-res/refs/heads/main/cover.png,quickapp,聊天;IM;QQ;开源,o65m;o62m;o62,coratech/merquryim.json,
会了吧,https://raw.githubusercontent.com/mqycn/huile8-miband/refs/heads/main/icon.png,https://raw.githubusercontent.com/mqycn/huile8-miband/refs/heads/main/preview.png,quickapp,实用工具,"n62;o62;o62m;o65;o65m;n66;n67",mqycn/huile8.json,
